unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
108807,72,72,72,36,36,36,36,36,36
108852,72,72,72,36,36,36,36,36,36
109040,72,72,72,36,36,36,36,36,36
109208,72,72,72,36,36,36,36,36,36
109350,72,72,72,36,36,36,36,36,36
109651,144,144,144,72,72,72,72,72,72
109785,144,144,144,72,72,72,72,72,72
109819,72,72,72,36,36,36,36,36,36
109907,72,72,72,36,36,36,36,36,36
110051,108,108,108,54,54,54,54,54,54
110060,144,144,144,72,72,72,72,72,72
110097,144,144,144,72,72,72,72,72,72
110185,144,144,144,72,72,72,72,72,72
110219,90,90,90,45,45,45,45,45,45
110246,72,72,72,36,36,36,36,36,36
110334,72,72,72,36,36,36,36,36,36
110361,144,144,144,72,72,72,72,72,72
110370,144,144,144,72,72,72,72,72,72
110404,144,144,144,72,72,72,72,72,72
110413,144,144,144,72,72,72,72,72,72
110422,144,144,144,72,72,72,72,72,72
110468,144,144,144,72,72,72,72,72,72
110486,144,144,144,72,72,72,72,72,72
110495,144,144,144,72,72,72,72,72,72
110510,144,144,144,72,72,72,72,72,72
110529,144,144,144,72,72,72,72,72,72
110538,144,144,144,72,72,72,72,72,72
110547,144,144,144,72,72,72,72,72,72
110556,144,144,144,72,72,72,72,72,72
110565,144,144,144,72,72,72,72,72,72
110574,144,144,144,72,72,72,72,72,72
110583,144,144,144,72,72,72,72,72,72
110592,144,144,144,72,72,72,72,72,72
110608,144,144,144,72,72,72,72,72,72
110617,144,144,144,72,72,72,72,72,72
110635,144,144,144,72,72,72,72,72,72
110644,144,144,144,72,72,72,72,72,72
110653,144,144,144,72,72,72,72,72,72
110662,144,144,144,72,72,72,72,72,72
110671,144,144,144,72,72,72,72,72,72
110680,144,144,144,72,72,72,72,72,72
110705,144,144,144,72,72,72,72,72,72
110714,144,144,144,72,72,72,72,72,72
110945,144,144,144,72,72,72,72,72,72
111009,72,72,72,36,36,36,36,36,36
111081,144,144,144,72,72,72,72,72,72
111188,144,144,144,72,72,72,72,72,72
111434,72,72,72,36,36,36,36,36,36
111461,72,72,72,36,36,36,36,36,36
111638,72,72,72,36,36,36,36,36,36
111887,72,72,72,36,36,36,36,36,36
111896,72,72,72,36,36,36,36,36,36
